"name"	"comments"	"mw"	"location"	"reactionId"	"id"
"1-phosphofructokinase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 67498.97779999992, -0.0, -0.0, -0.0, -0.0]	["c"]	"1-PFK_RXN"	"1-PFK"
"2-oxoglutarate dehydrogenase complex"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 2417948.8856000006, -0.0, -0.0, -0.0, -0.0]	["c"]	"2OXOGLUTARATEDEH-CPLX_RXN"	"2OXOGLUTARATEDEH-CPLX"
"3-isopropylmalate dehydrogenase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 79007.46980000004, -0.0, -0.0, -0.0, -0.0]	["c"]	"3-ISOPROPYLMALDEHYDROG-CPLX_RXN"	"3-ISOPROPYLMALDEHYDROG-CPLX"
"isopropylmalate isomerase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 72351.8632000001, -0.0, -0.0, -0.0, -0.0]	["c"]	"3-ISOPROPYLMALISOM-CPLX_RXN"	"3-ISOPROPYLMALISOM-CPLX"
"3-methyl-2-oxobutanoate hydroxymethyltransferase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 282272.3049999998, -0.0, -0.0, -0.0, -0.0]	["c"]	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_RXN"	"3-METHYL-2-OXOBUT-OHCH3XFER-CPLX"
"KASII"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 86010.88860000011, -0.0, -0.0, -0.0, -0.0]	["c"]	"3-OXOACYL-ACP-SYNTHII-CPLX_RXN"	"3-OXOACYL-ACP-SYNTHII-CPLX"
"6-phosphofructokinase I"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 139335.2839999999, -0.0, -0.0, -0.0, -0.0]	["c"]	"6PFK-1-CPX_RXN"	"6PFK-1-CPX"
"6-phosphofructokinase II"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 64895.55339999993, -0.0, -0.0, -0.0, -0.0]	["c"]	"6PFK-2-CPX_RXN"	"6PFK-2-CPX"
"6-phosphogluconate dehydrogenase (decarboxylating)"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 102935.92000000014, -0.0, -0.0, -0.0, -0.0]	["c"]	"6PGLUCONDEHYDROG-CPLX_RXN"	"6PGLUCONDEHYDROG-CPLX"
"7-&alpha;-hydroxysteroid dehydrogenase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 106961.43919999988, -0.0, -0.0, -0.0, -0.0]	["c"]	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX_RXN"	"7-ALPHA-HYDROXYSTEROID-DEH-CPLX"
"8-amino-7-oxononanoate synthase"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 83184.15140000003, -0.0, -0.0, -0.0, -0.0]	["c"]	"7KAPSYN-CPLX_RXN"	"7KAPSYN-CPLX"
"ferric enterobactin ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 162603.05719999978, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-10-CPLX_RXN"	"ABC-10-CPLX"
"iron (III) hydroxamate ABC transporter"	""	[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 231583.37710000036, -0.0, -0.0, -0.0, -0.0]	["i"]	"ABC-11-CPLX_RXN"	"ABC-11-CPLX"
