"Table 6. mRNA relative abundances in M9 + glucose and LB media"				
				
"This table contains the relative abundances for individual mRNAs in M9 + glucose"				
"and LB media. Relative abundances were determined by using mRNA harvested from"				
"cultures grown at 30ºC to OD600 = 0.8 as described in Materials and Methods. "				
"The data in this file were used as source data for Fig. 3A."				
				
			"Relative abundance "	"Relative abundance "
			"in LB medium, "	"in M9 medium, "
"UID"	"Symbol"	"Name"	"log base 2 units"	" log base 2 units"
"B0001"	"thrL"	"thrL thr operon leader peptide "		5.391
"B0002"	"thrA"	"thrA aspartokinase I, homoserine dehydrogenase I "	-2.071	0.409
"B0003"	"thrB"	"thrB homoserine kinase "	-1.757	0.267
"B0004"	"thrC"	"thrC threonine synthase "		-0.227
"B0005"	"B0005"	"B0005 orf, hypothetical protein "		-0.942
"B0006"	"yaaA"	"yaaA orf, hypothetical protein "	-1.131	-0.336
"B0008"	"talB"	"talB transaldolase B "	3.386	2.373
"B0009"	"mog"	"mog required for the efficient incorporation of molybdate into molybdoproteins "	-0.796	-0.478
"B0011"	"B0011"	"B0011 putative oxidoreductase "		-1.635
"B0012"	"htgA"	"htgA positive regulator for sigma 32 heat shock promoters "		-1.8
"B0013"	"yaaI"	"yaaI orf, hypothetical protein "		-0.041
"B0014"	"dnaK"	"dnaK chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins "	2.225	2.09
"B0015"	"dnaJ"	"dnaJ chaperone with DnaK; heat shock protein "	-0.248	0.438
"B0016"	"yi81_1"	"yi81_1 IS186 hypothetical protein "	-1.426	-0.917
"B0017"	"yi82_1"	"yi82_1 IS186 and IS421 hypothetical protein "		-1.757
"B0019"	"nhaA"	"nhaA Na+/H antiporter, pH dependent "		-0.008
"B0020"	"nhaR"	"nhaR transcriptional activator of nhaA "		-0.577
"B0021"	"insB_1"	"insB_1 IS1 protein InsB "	-2.058	-0.737
"B0022"	"insA_1"	"insA_1 IS1 protein InsA "		-1.271
"B0023"	"rpsT"	"rpsT 30S ribosomal subunit protein S20 "	4.063	3.457
"B0024"	"B0024"	"B0024 orf, hypothetical protein "	0.143	1.692
"B0025"	"ribF"	"ribF putative regulator "	0.969	1.468
"B0026"	"ileS"	"ileS isoleucine tRNA synthetase "	0.158	0.609
"B0027"	"lspA"	"lspA prolipoprotein signal peptidase (SPase II) "		-0.634
"B0028"	"slpA"	"slpA probable FKBX-type 16KD peptidyl-prolyl cis-trans isomerase (a rotamase) "	-0.858	0.05
"B0029"	"lytB"	"lytB control of stringent response; involved in penicillin tolerance "		
"B0030"	"yaaF"	"yaaF orf, hypothetical protein "	-0.539	
"B0031"	"dapB"	"dapB dihydrodipicolinate reductase "	-0.854	-1.033
"B0032"	"carA"	"carA carbamoyl-phosphate synthetase, glutamine (small) subunit "	4.399	-1.255
"B0033"	"carB"	"carB carbamoyl-phosphate synthase large subunit "	3.456	-1.51
"B0034"	"caiF"	"caiF transcriptional regulator of cai operon "	0.17	
"B0035"	"caiE"	"caiE possible synthesis of cofactor for carnitine racemase and dehydratase "		-0.405
"B0036"	"caiD"	"caiD carnitine racemase "		-0.898
"B0038"	"caiB"	"caiB l-carnitine dehydratase "		-2.017
"B0039"	"caiA"	"caiA probable carnitine operon oxidoreductase "		-1.265
"B0040"	"caiT"	"caiT probable carnitine transporter "		-1.153
"B0043"	"fixC"	"fixC flavoprotein; electron transport "		-0.971
"B0045"	"yaaU"	"yaaU putative transport protein "		-0.474
"B0046"	"yabF"	"yabF putative NAD(P)H oxidoreductase "		
"B0047"	"kefC"	"kefC K+ efflux antiporter, glutathione-regulated "		
"B0048"	"folA"	"folA dihydrofolate reductase type I; trimethoprim resistance "	-1.02	-0.539
"B0049"	"apaH"	"apaH diadenosine tetraphosphatase "	-0.293	0.535
"B0050"	"apaG"	"apaG orf, hypothetical protein "	0.023	0.422
"B0051"	"ksgA"	"ksgA S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase "	-0.607	-0.028
"B0052"	"pdxA"	"pdxA pyridoxine biosynthesis "	-0.236	0.227
"B0053"	"surA"	"surA survival protein "	0.51	0.756
"B0054"	"imp"	"imp organic solvent tolerance "	1.011	1.479
"B0055"	"yabH"	"yabH putative DNA binding protein "		-0.531
"B0056"	"yabP"	"yabP orf, hypothetical protein "		-0.97
"B0057"	"yabQ"	"yabQ orf, hypothetical protein "		-0.007
"B0058"	"yabO"	"yabO orf, hypothetical protein "		-0.971
"B0059"	"hepA"	"hepA probable ATP-dependent RNA helicase "		
"B0060"	"polB"	"polB DNA polymerase II "		-1.219
"B0061"	"araD"	"araD L-ribulose-5-phosphate 4-epimerase "		-1.149
"B0062"	"araA"	"araA L-arabinose isomerase "		
"B0063"	"araB"	"araB L-ribulokinase "		-1.437
"B0064"	"araC"	"araC transcriptional regulator for ara operon "		
"B0065"	"yabI"	"yabI orf, hypothetical protein "		-0.788
"B0067"	"yabK"	"yabK putative transport system permease protein "		-0.705
"B0068"	"tbpA"	"tbpA thiamin-binding periplasmic protein "	-1.771	-0.544
"B0069"	"yabN"	"yabN putative transport protein "	-1.535	-0.873
"B0070"	"yabM"	"yabM putative transport protein "		-0.931
"B0071"	"leuD"	"leuD isopropylmalate isomerase subunit "		1.739
"B0072"	"leuC"	"leuC 3-isopropylmalate isomerase (dehydratase) subunit "		2.271
"B0073"	"leuB"	"leuB 3-isopropylmalate dehydrogenase "		2.353
"B0074"	"leuA"	"leuA 2-isopropylmalate synthase "		2.7
"B0077"	"ilvI"	"ilvI acetolactate synthase III, valine sensitive, large subunit "		0.649
"B0078"	"ilvH"	"ilvH acetolactate synthase III, valine sensitive, small subunit "		0.421
"B0080"	"fruR"	"fruR transcriptional repressor of fru operon and others "	-0.446	-0.294
"B0081"	"yabB"	"yabB orf, hypothetical protein "	0.249	1.038
"B0082"	"yabC"	"yabC putative apolipoprotein "	-0.482	0.209
"B0083"	"ftsL"	"ftsL cell division protein; ingrowth of wall at septum "		-0.005
"B0084"	"ftsI"	"ftsI septum formation; penicillin-binding protein 3; peptidoglycan synthetase "	-1.024	0.072
"B0085"	"murE"	"murE meso-diaminopimelate-adding enzyme "	-1.31	-0.418
"B0086"	"murF"	"murF D-alanine:D-alanine-adding enzyme "	-1.051	0.089
"B0087"	"mraY"	"mraY phospho-N-acetylmuramoyl-pentapeptide transferase? "		-0.171
"B0088"	"murD"	"murD UDP-N-acetylmuramoylalanine-D-glutamate ligase "		-0.498
"B0089"	"ftsW"	"ftsW cell division; membrane protein involved in shape determination "		-0.928
"B0090"	"murG"	"murG UDP-N-acetylglucosamine:N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase "		0.208
"B0091"	"murC"	"murC L-alanine adding enzyme, UDP-N-acetyl-muramate:alanine ligase "		-0.361
"B0092"	"ddlB"	"ddlB D-alanine-D-alanine ligase B, affects cell division "	-0.814	0.386
"B0093"	"ftsQ"	"ftsQ cell division protein; ingrowth of wall at septum "	-1.121	0.133
"B0094"	"ftsA"	"ftsA ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes "	0.006	0.67
"B0095"	"ftsZ"	"ftsZ cell division; forms circumferential ring; tubulin-like GTP-binding protein and GTPase "	0.7	1.777
"B0096"	"lpxC"	"lpxC UDP-3-O-acyl N-acetylglucosamine deacetylase; lipid A biosynthesis "	0.644	1.67
"B0097"	"yacA"	"yacA orf, hypothetical protein "	0.91	0.865
"B0098"	"secA"	"secA preprotein translocase; secretion protein "	-0.355	0.43
"B0099"	"mutT"	"mutT 7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP, causes AT-GC transversions "		-0.359
"B0100"	"B0100"	"B0100 orf, hypothetical protein "		-0.406
"B0101"	"yacG"	"yacG orf, hypothetical protein "		0.002
"B0102"	"yacF"	"yacF orf, hypothetical protein "	-0.42	0.476
"B0103"	"yacE"	"yacE putative DNA repair protein "	-0.848	-0.253
"B0104"	"guaC"	"guaC GMP reductase "	1.476	0.405
"B0105"	"B0105"	"B0105 orf, hypothetical protein "	1.014	
"B0106"	"hofC"	"hofC putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake "		-1.566
"B0107"	"hofB"	"hofB putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake "		-0.698
"B0108"	"ppdD"	"ppdD prelipin peptidase dependent protein "		
"B0109"	"nadC"	"nadC quinolinate phosphoribosyltransferase "	-1.565	0.482
"B0110"	"ampD"	"ampD regulates ampC "		-0.773
