# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.1
# Date and time generated: September 10, 2021, 12:54:24
"id"	"common_name"	"genes"	"left_end_pos"	"right_end_pos"	"direction"
"TU-8381"	"spy"	["G6939"]	1825057	1825688	"-"
"TU-8382"	"ycaC"	["EG11241"]	944931	945557	"-"
"TU-8383"	"yfeKS"	["G7261", "G7260"]	2537315	2538483	"+"
"TU-8384"	"bepA-yfgD"	["G7312", "G7311"]	2616068	2617937	"+"
"TU-8385"	"bamB-der"	["G7319", "G7320"]	2635884	2638975	"-"
"TU-8387"	"qseBC"	["EG12658", "G7575"]	3169287	3171833	"+"
"TU-8388"	"recC"	["EG10825"]	2959060	2962507	"-"
"TU-8389"	"infA"	["EG10504"]	926162	926479	"-"
"TU-8390"	"infA"	["EG10504"]	926162	926685	"-"
"TU-8391"	"bamD"	["G7352"]	2735961	2736883	"+"
"TU-8392"	"dsbC-recJ-prfB"	["EG10762", "EG10830", "EG11070"]	3035184	3039633	"-"
"TU-8393"	"htrG-cca"	["EG10136", "EG12434"]	3201042	3203129	"+"
"TU-8394"	"qseBC"	["EG12658", "G7575"]	3169801	3171833	"+"
"TU-8396"	"yraP"	["G7644"]	3296072	3296984	"+"
"TU-8397"	"greA"	["EG10415"]	3328239	3328853	"-"
"TU-8398"	"lptB-rpoN-hpf-ptsN-yhbJ"	["EG12146", "EG11682", "EG11681", "EG10898", "EG11680"]	3343396	3347969	"+"
"TU-8399"	"yecR"	["G7035"]	1988132	1988545	"+"
"TU-8401"	"yejO"	["EG12051"]	2286390	2290180	"-"
"TU-8405"	"flhBAE"	["G7027", "G370", "G7028"]	1962580	1966216	"-"
"TU-8407"	"rne"	["EG10859"]	1141182	1144728	"-"
"TU-8408"	"fliE"	["EG11346"]	2012700	2013036	"-"
"TU-8411"	"fliFGHIJK"	["G379", "G378", "G377", "EG11656", "EG11654", "EG11347"]	2013076	2019513	"+"
"TU-8412"	"gltIJKL-sroC"	["G0-9383", "EG12663", "EG12662", "EG12661", "G6359"]	684530	687896	"-"
"TU-8414"	"malQ"	["EG10561"]	3547986	3550399	"-"
"TU-8417"	"yhjJ"	["EG12254"]	3680444	3682016	"-"
"TU-8419"	"yieEF"	["EG11723", "EG11722"]	3893829	3895218	"+"
"TU-8421"	"plsB"	["EG10740"]	4254043	4256598	"-"
"TU-8422"	"essD-ybcS-rzpD"	["G6311", "G6310", "G6309"]	576873	578568	"+"
"TU-8423"	"rutR"	["EG12301"]	1074134	1074880	"+"
"TU-8427"	"narWV"	["EG10644", "EG10645"]	1535937	1538687	"-"
"TU-8428"	"ydhIJK"	["G6885", "G6884", "G6883"]	1720998	1724133	"+"
"TU-8430"	"lhr"	["EG11548"]	1728353	1733740	"+"
"TU-8431"	"rnlB"	["G7366"]	2766707	2767355	"+"
"TU-8433"	"gspAB"	["EG11263", "G7701"]	3453508	3455634	"-"
"TU-8434"	"yicJI"	["EG11685", "EG11686"]	3832219	3836664	"-"
"TU-8435"	"ahpF"	["EG11385"]	639002	641318	"+"
"TU-8438"	"ftnB"	["G7033"]	1986775	1987428	"+"
"TU-8439"	"bglA"	["G495"]	3043662	3045101	"+"
"TU-8441"	"ytfE"	["G7866"]	4431321	4432009	"-"
"TU-8443"	"ygbA"	["EG11287"]	2856453	2856828	"-"
"TU0-0"	"cysG"	["EG10188"]	3497754	3499201	"+"
"TU0-1"	"rpmF-plsX-fabHDG"	["EG11318", "EG11317", "EG10277", "EG11437", "EG10890"]	1147338	1151404	"+"
"TU0-1002"	"astCADBE"	["G6940", "G6941", "G6942", "G6943", "G6944"]	1825955	1832013	"-"
"TU0-1003"	"astCADBE"	["G6940", "G6941", "G6942", "G6943", "G6944"]	1825955	1832044	"-"
"TU0-1004"	"astCADBE"	["G6940", "G6941", "G6942", "G6943", "G6944"]	1825955	1832039	"-"
"TU0-1021"	"pyrH"	["EG11539"]	191812	192580	"+"
"TU0-1022"	"nrdHIEF"	["G7401", "G7402", "EG12381", "EG20257"]	2800595	2804461	"+"
"TU0-1041"	"cpxPQ"	["G0-16649", "G7816"]	4105733	4106387	"+"
"TU0-1061"	"srkA-dsbA"	["EG11297", "EG11831"]	4042342	4044044	"+"
"TU0-1062"	"dsbA"	["EG11297"]	4043377	4044044	"+"
"TU0-1063"	"fkpA"	["G7716"]	3476607	3477525	"-"
"TU0-1064"	"fkpA"	["G7716"]	3476607	3477499	"-"
"TU0-1106"	"aqpZ"	["EG13270"]	915352	916047	"-"
"TU0-1122"	"dmsABC"	["EG10234", "EG10233", "EG10232"]	940856	944896	"+"
"TU0-1123"	"moaABCDE"	["EG11598", "EG11597", "EG11666", "EG11596", "EG11595"]	816856	819747	"+"
"TU0-1141"	"ptsG"	["EG10787"]	1157621	1159302	"+"
"TU0-1142"	"ptsG"	["EG10787"]	1157591	1159302	"+"
"TU0-1143"	"grcA"	["EG11784"]	2716066	2716523	"-"
"TU0-1161"	"ldcC"	["G6094"]	209649	211820	"+"
"TU0-1181"	"rrsA-ileT-alaT-rrlA-rrfA"	["EG30070", "EG30077", "EG30008", "EG30043", "EG30084"]	4035106	4040636	"+"
"TU0-1182"	"rrsB-gltT-rrlB-rrfB"	["EG30071", "EG30078", "EG30032", "EG30085"]	4166224	4171962	"+"
"TU0-1183"	"rrsC-gltU-rrlC-rrfC"	["EG30072", "EG30079", "EG30033", "EG30086"]	3941395	3947067	"+"
"TU0-1184"	"rrsC-gltU-rrlC-rrfC"	["EG30072", "EG30079", "EG30033", "EG30086"]	3941633	3947067	"+"
"TU0-1186"	"rrsE-gltV-rrlE-rrfE"	["EG30074", "EG30081", "EG30034", "EG30088"]	4207693	4213209	"+"
"TU0-1187"	"rrsG-gltW-rrlG-rrfG"	["EG30075", "EG30082", "EG30035", "EG30089"]	2726069	2731448	"-"
"TU0-1188"	"rrsG-gltW-rrlG-rrfG"	["EG30075", "EG30082", "EG30035", "EG30089"]	2726069	2731332	"-"
"TU0-1189"	"rrsH-ileV-alaV-rrlH-rrfH"	["EG30076", "EG30083", "EG30010", "EG30045", "EG30090"]	223304	228875	"+"
"TU0-1190"	"rrsH-ileV-alaV-rrlH-rrfH"	["EG30076", "EG30083", "EG30010", "EG30045", "EG30090"]	223593	228875	"+"
"TU0-1191"	"rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF"	["EG30091", "EG30103", "EG30073", "EG30080", "EG30009", "EG30044", "EG30087"]	3423371	3429047	"-"
"TU0-1192"	"rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF"	["EG30091", "EG30103", "EG30073", "EG30080", "EG30009", "EG30044", "EG30087"]	3423371	3428940	"-"
"TU0-1193"	"dnaN-recF"	["EG10828", "EG10242"]	3880148	3882733	"-"
"TU0-1194"	"dnaN-recF"	["EG10828", "EG10242"]	3880148	3882590	"-"
"TU0-1195"	"dnaN-recF"	["EG10828", "EG10242"]	3880148	3882562	"-"
"TU0-1196"	"dnaN-recF"	["EG10828", "EG10242"]	3880148	3882348	"-"
"TU0-1198"	"uspB"	["EG12231"]	3639385	3639848	"-"
"TU0-1201"	"gdhA"	["EG10372"]	1842227	1843714	"+"
"TU0-1222"	"efp"	["EG12099"]	4375567	4376265	"+"
"TU0-1241"	"sugE"	["EG11616"]	4376794	4377192	"+"
"TU0-1261"	"chpSB"	["EG12096", "EG11250"]	4448428	4449042	"+"
"TU0-12785"	"yjjY"	["G7954"]	4640402	4640542	"+"
"TU0-12786"	"yjtD"	["EG12309"]	4640942	4641628	"+"
"TU0-12787"	"yaaX"	["G6081"]	5234	5530	"+"
"TU0-12788"	"yaaA"	["EG10011"]	5683	6459	"-"
"TU0-12789"	"yaaJ"	["EG11555"]	6529	7959	"-"
"TU0-12790"	"mog"	["EG11511"]	9306	9893	"+"
"TU0-12791"	"satP"	["EG11512"]	9928	10494	"-"
"TU0-12792"	"yaaW"	["G6082"]	10643	11356	"-"
"TU0-12793"	"insL1"	["G6083"]	15445	16557	"+"
"TU0-12794"	"mokC-hokC"	["EG10373", "G0-9563"]	16751	16960	"-"
"TU0-12795"	"sokC"	["G0-9581"]	16952	17006	"+"
"TU0-12796"	"insA1B1AB1"	["G6086", "G6085", "G0-10535"]	19811	20508	"-"
"TU0-12797"	"rihC"	["EG11082"]	27293	28207	"+"
"TU0-12799"	"yaaU"	["EG11566"]	45592	47138	"+"
"TU0-12800"	"kefFC"	["EG10521", "EG11568"]	47246	49631	"+"
"TU0-12801"	"djlA"	["EG11570"]	57364	58179	"+"
"TU0-12802"	"yabPQ"	["EG12611", "EG12610"]	58474	59279	"+"
"TU0-12804"	"yabI"	["EG11571"]	71271	72115	"+"
"TU0-12805"	"sgrR-sroA-thiBPQ"	["EG12094", "G0-9381", "EG11574", "EG11573", "EG11572"]	72229	77338	"-"
"TU0-12806"	"sgrST-setA"	["G0-10617", "EG11754", "G0-9941"]	77313	78799	"+"
"TU0-12807"	"leuO"	["EG10531"]	84188	85312	"+"
"TU0-12808"	"cra"	["EG10338"]	87947	89032	"+"
"TU0-12809"	"lpxC"	["EG10265"]	106508	107544	"+"
"TU0-1281"	"uof-fur"	["G0-10580", "EG10359"]	710118	710829	"-"
"TU0-12810"	"coaE-zapD-yacG"	["EG12312", "EG12313", "EG12314"]	111649	113219	"-"
"TU0-12811"	"ppdD-hofBC"	["EG12107", "EG12106", "EG11798"]	114522	117705	"-"
"TU0-12812"	"nadC"	["EG11546"]	117752	118663	"-"
"TU0-12813"	"yacL"	["EG12605"]	134339	134750	"+"
"TU0-12815"	"yadGH"	["EG12321", "EG12320"]	142779	144472	"+"
"TU0-12816"	"yadI"	["EG12322"]	144577	145017	"+"
"TU0-12817"	"yadE"	["EG11749"]	145081	146310	"+"
"TU0-12818"	"yadC"	["EG11678"]	149715	150983	"-"
"TU0-12819"	"hrpB"	["EG12329"]	162105	164534	"+"
"TU0-1282"	"fldA-uof-fur"	["G0-10580", "EG10359", "EG10318"]	710118	711521	"-"
"TU0-12820"	"mrcB"	["EG10605"]	164721	167264	"+"
"TU0-12821"	"clcA"	["EG12331"]	175107	176528	"+"
"TU0-12822"	"mnt-btuF-yadS"	["EG11090", "EG12334", "EG12333"]	177001	179183	"-"
"TU0-12823"	"dgt"	["EG10225"]	179196	180754	"+"
"TU0-12825"	"yaeH"	["EG12336"]	183709	184095	"-"
"TU0-12826"	"yaeI"	["EG12337"]	184257	185069	"-"
"TU0-12827"	"map-glnD-dapD"	["EG10570", "EG11411", "EG10207"]	185123	189506	"-"
"TU0-1283"	"fur"	["EG10359"]	710118	710723	"-"
"TU0-12831"	"dxr-uppS-cdsA"	["EG10139", "G6092", "EG12715"]	193521	196534	"+"
"TU0-12832"	"yaeR"	["G6095"]	211877	212266	"+"
"TU0-12833"	"tilS"	["G6096"]	212331	213629	"+"
"TU0-12834"	"yaeP-rof"	["G372", "G6097"]	213678	214187	"-"
"TU0-12835"	"yaeQ-arfB-nlpE"	["EG12137", "EG12354", "G6098"]	214280	215979	"+"
"TU0-12836"	"yaeF"	["EG12138"]	216179	217003	"-"
"TU0-12837"	"rcsF-trmO"	["EG11502", "EG11503"]	218887	219995	"-"
"TU0-12838"	"gmhB"	["EG11736"]	222806	223408	"+"
"TU0-12839"	"dkgB"	["EG11648"]	229098	229970	"+"
"TU0-12840"	"yafDE"	["EG11651", "EG11650"]	231064	232549	"+"
"TU0-12841"	"mltD"	["EG10246"]	232597	233955	"-"
"TU0-12842"	"gloB"	["G6099"]	234027	234782	"-"
"TU0-12843"	"dnaQ"	["EG10243"]	236067	236798	"+"
"TU0-12844"	"yafT"	["G6101"]	237335	238120	"+"
"TU0-12846"	"gmhA"	["G6106"]	243543	244121	"+"
"TU0-12847"	"yafJ"	["G6107"]	244327	245094	"+"
"TU0-12848"	"ldtF"	["G6108"]	245065	245805	"-"
"TU0-12849"	"dinJ-yafQ"	["G6110", "G6109"]	245961	246615	"-"
"TU0-12850"	"yafL"	["G6111"]	246712	247461	"+"
"TU0-12851"	"rayT"	["G6112"]	247637	248134	"+"
"TU0-12852"	"lafU"	["G6114"]	250072	250827	"+"
"TU0-12853"	"dinB-yafNOP"	["G6118", "G6117", "G6116", "G6115"]	250880	253161	"+"
"TU0-12854"	"yafNOP"	["G6118", "G6117", "G6116"]	251969	253161	"+"
"TU0-12855"	"ykfJ-prfH"	["EG11496", "G6119"]	253467	254202	"+"
"TU0-12857"	"frsA"	["EG11091"]	256502	257771	"+"
"TU0-12859"	"yafY-ykfBF-yafX-ykfGH-yafW-ykfI"	["G6126", "G6125", "G6124", "G6123", "G6122", "G0-10432", "G6121", "G6120"]	263328	266553	"-"
"TU0-12860"	"ykfA-yafZ"	["G6128", "G6127"]	267184	268960	"-"
"TU0-12861"	"perR"	["G6129"]	269289	270182	"-"
"TU0-12862"	null	["G6131", "G6130"]	270226	272190	"+"
"TU0-12863"	"ykfC"	["G6133"]	272847	273992	"+"
"TU0-12864"	"mmuPM"	["G6136", "G6135"]	275325	277647	"+"
"TU0-12865"	"insA2B2AB2-afuBC"	["G6139", "G6138", "G0-10537", "G6137", "EG12340"]	277756	279875	"-"
"TU0-12866"	"yagAB-insX"	["EG12338", "EG12339", "G0-10433"]	280114	281983	"-"
"TU0-12867"	"yagEF"	["G6141", "G6140"]	282278	285168	"+"
"TU0-12868"	"yagGH"	["G6143", "G6142"]	285395	288399	"+"
"TU0-12869"	"xynR"	["G6144"]	288404	289162	"-"
"TU0-12870"	"insA3B3AB3"	["G6146", "G6145", "G0-10538"]	290649	291346	"-"
"TU0-12871"	"yagK"	["G6148"]	292322	293118	"-"
"TU0-12872"	"yagML"	["G6150", "G6149"]	293220	294799	"-"
"TU0-12873"	"yagN"	["G6151"]	295139	295579	"-"
"TU0-12874"	"intF"	["G6152"]	295696	297096	"-"
"TU0-12875"	"yagP"	["G6153"]	297381	297791	"-"
"TU0-12876"	"paoABCD"	["G6157", "G6156", "G6155", "G6154"]	297770	302573	"-"
"TU0-12877"	"ykgJ"	["G6159"]	303853	304182	"-"
"TU0-12878"	"ecpBCDE"	["G6163", "G6162", "G6161", "G6160"]	304495	310119	"-"
"TU0-12879"	"ecpA"	["G6164"]	310084	310797	"-"
"TU0-12880"	"ecpR"	["G6165"]	310746	311393	"-"
"TU0-12881"	"ykgMO"	["G6167", "G0-10434"]	312374	312805	"-"
"TU0-12882"	"eaeH-insE1EF1F1"	["G6169", "G6168", "G0-10525", "EG12161"]	314357	316453	"+"
"TU0-12883"	"ykgA"	["G6170"]	316450	317136	"-"
"TU0-12884"	"rclBC"	["G6173", "G6171"]	317726	318567	"-"
"TU0-12885"	"rclABC"	["G6171", "G6173", "G6174"]	317726	320215	"-"
"TU0-12886"	"rclR"	["G6175"]	320227	321081	"+"
"TU0-12887"	"ykgEFG"	["G6178", "G6177", "G6176"]	321608	324453	"+"
"TU0-12888"	"ykgH"	["G6180"]	324696	325364	"-"
"TU0-12889"	"pdeL"	["EG11236"]	331879	333459	"+"
"TU0-12890"	"yahB"	["G6181"]	333501	334433	"-"
"TU0-12891"	"yahC"	["G6182"]	334525	335022	"-"
"TU0-12892"	"yahDEFG"	["G6186", "G6185", "G6184", "G6183"]	335280	339743	"+"
"TU0-12893"	"yahH"	["G0-10550"]	339769	340089	"+"
"TU0-12894"	"yahIJ"	["G6189", "G6188"]	340165	342507	"+"
"TU0-12895"	"yahK"	["G6190"]	342884	343933	"+"
"TU0-12896"	"yahL"	["G6191"]	344176	344991	"+"
"TU0-12897"	"yahM"	["G6192"]	345404	345649	"+"
"TU0-12900"	"mhpT"	["G6206"]	375386	376670	"+"
"TU0-12901"	"yaiL"	["G6207"]	376772	377311	"+"
"TU0-12902"	"frmRAB"	["G6209", "EG50010", "G6208"]	377535	379881	"-"
"TU0-12903"	"yaiO"	["G6210"]	380069	381260	"-"
"TU0-12904"	"insC1CD1D1"	["G6213", "G6212", "G0-10541"]	381351	382579	"+"
"TU0-12905"	"yaiX"	["G6214"]	380844	382872	"-"
"TU0-12906"	"yaiP"	["G6215"]	382739	383935	"-"
"TU0-12908"	"hemB"	["EG10428"]	388753	389754	"-"
"TU0-12910"	"insE2F2EF2"	["G6224", "G6223", "G0-10529"]	391739	392901	"-"
"TU0-12912"	"iprA"	["G6226"]	394506	395129	"+"
"TU0-12913"	"iraP"	["EG11256"]	401319	401646	"+"
