frameId	Name	Left	Right	Rho Dependent	Component of
ACCCT1	ACCCT1	3405308	3405324	False	"[""TU00231""]"
ACRFT1	ACRFT1	3416165	3416199	False	"[""TU00234""]"
ARCAT1	ARCAT1	4637562	4637595	False	"[""TU348"", ""TU346"", ""TU345"", ""TU354"", ""TU347"", ""TU344"", ""TU352""]"
AROF-TYRA-TERMINATOR	AROF-TYRA-TERMINATOR	2736934	2736962	False	"[""TU00008"", ""TU0-6653""]"
AROGT1	AROGT1	786018	786044	False	"[""TU00009""]"
AROH_TERMINATOR	AROH_TERMINATOR	1787511	1787534	False	"[""TU00010"", ""TU0-14254""]"
AROPT1	AROPT1	120144	120168	False	"[""TU641"", ""TU00012""]"
BOLA	BOLA	454068	454089	False	"[""TU0-14251"", ""TU00386""]"
DNAC	DNAC	4598162	4598180	False	"[""TU0-8868"", ""TU0-8869""]"
FIME	FIME	4540874	4540925	True	"[""TU183""]"
FIST	FIST	3409615	3409648	False	"[""TU00021""]"
GLYA_TERMINATOR	GLYA_TERMINATOR	2682097	2682115	False	"[""TU00192""]"
GUSAT1	GUSAT1	2628928	2628955	False	"[""TU00205""]"
IHFA-TERMINATOR	IHFA-TERMINATOR	1793240	1793263	False	"[""TU0-6626"", ""TU00174""]"
ILVA-RHO-TERMINATOR	ILVA-RHO-TERMINATOR	3955085	3955146	True	"[""TU526"", ""TU525"", ""TU0-6651"", ""TU524""]"
METYT1	METYT1	3316094	3316109	False	"[""TU0-8476"", ""TU343""]"
METYT2	METYT2	3316053	3316065	False	"[""TU0-8476"", ""TU343""]"
OMPC_TERMINATOR	OMPC_TERMINATOR	2309632	2309646	False	"[""TU00477"", ""TU00049"", ""TU00476""]"
PHEM-T3	PHEM-T3	1797185	1797200	False	"[""TU0-8856"", ""TU0-8855""]"
PRMAT1	PRMAT1	3408051	3408064	False	"[""TU00314""]"
PROS-TERMINATOR	PROS-TERMINATOR	217020	217051	False	"[""TU0-6562""]"
PSPF	PSPF	1364842	1364937	False	"[""TU0-1802"", ""TU0-1805"", ""TU0-1803""]"
RPLT-T2	RPLT-T2	1797387	1797406	False	"[""TU0-14255"", ""TU0-6657"", ""TU0-3305""]"
RPSOT1	RPSOT1	3309394	3309420	False	"[""TU0-8474""]"
SPEDT1	SPEDT1	134756	134783	False	"[""TU00359""]"
SPY-TERMINATOR	SPY-TERMINATOR	1823081	1823150	False	"[""TU-8381""]"
TERM-RPST	TERM-RPST	20771	20784	False	"[""TU0-7842"", ""TU0-7844""]"
TERM0-1029	TERM0-1029	4234182	4234232	False	"[""TU0-14111""]"
TERM0-1030	TERM0-1030	4631134	4631167	False	"[""TU00220""]"
TERM0-1031	TERM0-1031	2031739	2031755	False	"[""TU0-14332""]"
TERM0-1033	TERM0-1033	3044148	3044167	False	"[""TU0-14509"", ""TU00170""]"
TERM0-1034	TERM0-1034	359477	359502	False	"[""TU0-14378""]"
TERM0-1035	TERM0-1035	1643058	1643073	False	"[""TU0-14381""]"
