Frame ID	Name	Absolute +1 Position	Sigma	Direction	Component of
PM-8764	spyp	1823712	"[""D""]"	-	"[""TU-8381""]"
PM-8766	yfeKp	2535337	"[""E""]"	+	"[""TU-8383""]"
PM-8767	yfgCp1	2614090	"[""E""]"	+	"[""TU-8384""]"
PM-8768	bamBp	2636997	"[""E""]"	-	"[""TU-8385""]"
PM-8770	qseBp2	3167773	"[""D""]"	+	"[""TU-8387""]"
PM-8771	recCp	2960529	"[""D""]"	-	"[""TU-8388""]"
PM-8772	infAp2	925702	"[""D""]"	-	"[""TU-8389""]"
PM-8773	infAp1	925908	"[""D""]"	-	"[""TU-8390""]"
PM-8774	bamDp2	2733983	"[""E""]"	+	"[""TU-8391""]"
PM-8775	dsbCp2	3037655	"[""E""]"	-	"[""TU-8392""]"
PM-8776	ygiMp2	3199064	"[""E""]"	+	"[""TU-8393""]"
PM-8777	qseBp1	3167823	"[""D""]"	+	"[""TU-8394""]"
PM-8779	yraPp2	3294094	"[""E""]"	+	"[""TU-8396""]"
PM-8780	greAp2	3326875	"[""E""]"	-	"[""TU-8397""]"
PM-8781	lptBp	3341418	"[""E""]"	+	"[""TU-8398""]"
PM-8782	flgAp	1130108	"[""D""]"	-	"[""TU00272""]"
PM-8783	flgBp	1130216	"[""D""]"	+	"[""TU00273""]"
PM-8784	yecRp	1986224	"[""D""]"	+	"[""TU-8399""]"
PM-8786	yejOp	2287198	"[""D""]"	-	"[""TU-8401""]"
PM-8790	flhBp	1964240	"[""D""]"	-	"[""TU-8405""]"
PM-8793	fliFp	2011229	"[""F""]"	+	"[""TU00275""]"
PM-8794	fliEp1	2011060	"[""D""]"	-	"[""TU-8408""]"
PM-8797	fliFp1	2011170	"[""D""]"	+	"[""TU-8411""]"
PM-8798	gltIp1	687119	"[""D""]"	-	"[""TU-8412""]"
PM-8800	malQp	3548421	"[""E""]"	-	"[""TU-8414""]"
PM-8803	yhjJp	3680039	"[""E""]"	-	"[""TU-8417""]"
PM-8805	yieEp	3891852	"[""E""]"	+	"[""TU-8419""]"
PM-8807	plsBp	4254621	"[""E""]"	-	"[""TU-8421""]"
PM-8808	essDp	576096	"[""E""]"	+	"[""TU-8422""]"
PM-8809	rutRp	1073357	"[""E""]"	+	"[""TU-8423""]"
PM-8813	narWp	1536711	"[""E""]"	-	"[""TU-8427""]"
PM-8814	ydhIp	1719022	"[""E""]"	+	"[""TU-8428""]"
PM-8816	lhrp	1726377	"[""E""]"	+	"[""TU-8430""]"
PM-8817	rnlBp	2764729	"[""E""]"	+	"[""TU-8431""]"
PM-8819	gspAp4	3453656	"[""E""]"	-	"[""TU-8433""]"
PM-8820	yicJp	3834687	"[""E""]"	-	"[""TU-8434""]"
PM-8821	ahpFp	638225	"[""E""]"	+	"[""TU-8435""]"
PM-8824	ftnBp	1984799	"[""E""]"	+	"[""TU-8438""]"
PM-8827	ytfEp	4430032	"[""D""]"	-	"[""TU-8441""]"
PM-8829	ygbAp	2854850	"[""D""]"	-	"[""TU-8443""]"
PM-8830	tehAp	1498560	"[""D""]"	+	"[""TU00364""]"
PM0-1	cysGp1	3495776	"[""D""]"	+	"[""TU0-0""]"
PM0-10	molR_1p	2194466	"[""D""]"	+	"[""TU0-9""]"
PM0-10000	ybjQp	903740	"[""D""]"	+	"[""TU0-13073""]"
PM0-10001	ltaEp	908543	"[""D""]"	-	"[""TU0-14618""]"
PM0-10002	ybjXp	918326	"[""D""]"	-	"[""TU0-8513""]"
PM0-10003	trxBp	931301	"[""D""]"	-	"[""TU0-13078""]"
PM0-10004	serSp	938588	"[""D""]"	+	"[""TU0-13080""]"
PM0-10006	ycbJp	970895	"[""D""]"	+	"[""TU0-13089""]"
PM0-10007	ycbBp	980154	"[""D""]"	+	"[""TU0-13090""]"
PM0-10008	ycbKp	982246	"[""D""]"	+	"[""TU0-13091""]"
PM0-10009	asnSp	988267	"[""D""]"	-	"[""TU0-13093""]"
PM0-10010	pepNp	989814	"[""D""]"	+	"[""TU0-8489""]"
PM0-10011	matPp	1017682	"[""D""]"	+	"[""TU0-8677""]"
